Datum;Nivo v absolutnih kotah (m n.m.)
01.01.2006;279.95
02.01.2006;279.915
03.01.2006;279.853
04.01.2006;279.823
05.01.2006;279.82
06.01.2006;279.797
07.01.2006;279.751
08.01.2006;279.718
09.01.2006;279.692
10.01.2006;279.665
11.01.2006;279.65
12.01.2006;279.608
13.01.2006;279.57
14.01.2006;279.551
15.01.2006;279.54
16.01.2006;279.53
17.01.2006;279.525
18.01.2006;279.535
19.01.2006;279.428
20.01.2006;279.39
21.01.2006;279.387
22.01.2006;279.339
23.01.2006;279.267
24.01.2006;279.223
25.01.2006;279.243
26.01.2006;279.231
27.01.2006;279.173
28.01.2006;279.139
29.01.2006;279.11
30.01.2006;279.084
31.01.2006;279.078
01.02.2006;279.045
02.02.2006;279.026
03.02.2006;278.989
04.02.2006;278.93
05.02.2006;278.889
06.02.2006;278.854
07.02.2006;278.835
08.02.2006;278.851
09.02.2006;278.823
10.02.2006;278.764
11.02.2006;278.698
12.02.2006;278.662
13.02.2006;278.635
14.02.2006;278.617
15.02.2006;278.603
16.02.2006;278.626
17.02.2006;278.579
18.02.2006;278.502
19.02.2006;278.465
20.02.2006;278.456
21.02.2006;278.425
22.02.2006;278.394
23.02.2006;278.39
24.02.2006;278.4
25.02.2006;278.402
26.02.2006;278.41
27.02.2006;278.395
28.02.2006;278.41
01.03.2006;278.418
02.03.2006;278.405
03.03.2006;278.397
04.03.2006;278.433
05.03.2006;278.428
06.03.2006;278.39
07.03.2006;278.393
08.03.2006;278.412
09.03.2006;278.465
10.03.2006;278.493
11.03.2006;278.529
12.03.2006;278.548
13.03.2006;278.576
14.03.2006;278.621
15.03.2006;278.677
16.03.2006;278.729
17.03.2006;278.78
18.03.2006;278.826
19.03.2006;278.893
20.03.2006;278.942
21.03.2006;278.983
22.03.2006;279.031
23.03.2006;279.045
24.03.2006;279.053
25.03.2006;279.08
26.03.2006;279.093
27.03.2006;279.14
28.03.2006;279.201
29.03.2006;279.213
30.03.2006;279.217
31.03.2006;279.25
01.04.2006;279.268
02.04.2006;279.303
03.04.2006;279.312
04.04.2006;279.335
05.04.2006;279.386
06.04.2006;279.378
07.04.2006;279.382
08.04.2006;279.401
09.04.2006;279.41
10.04.2006;279.436
11.04.2006;279.46
12.04.2006;279.46
13.04.2006;279.46
14.04.2006;279.466
15.04.2006;279.47
16.04.2006;279.498
17.04.2006;279.517
18.04.2006;279.549
19.04.2006;279.55
20.04.2006;279.553
21.04.2006;279.556
22.04.2006;279.576
23.04.2006;279.59
24.04.2006;279.585
25.04.2006;279.586
26.04.2006;279.6
27.04.2006;279.61
28.04.2006;279.62
29.04.2006;279.635
30.04.2006;279.63
01.05.2006;279.637
02.05.2006;279.63
03.05.2006;279.63
04.05.2006;279.63
05.05.2006;279.635
06.05.2006;279.652
07.05.2006;279.66
08.05.2006;279.665
09.05.2006;279.67
10.05.2006;279.66
11.05.2006;279.632
12.05.2006;279.612
13.05.2006;279.61
14.05.2006;279.605
15.05.2006;279.584
16.05.2006;279.58
17.05.2006;279.573
18.05.2006;279.55
19.05.2006;279.553
20.05.2006;279.54
21.05.2006;279.52
22.05.2006;279.489
23.05.2006;279.462
24.05.2006;279.423
25.05.2006;279.415
26.05.2006;279.424
27.05.2006;279.424
28.05.2006;279.454
29.05.2006;279.455
30.05.2006;279.482
31.05.2006;279.48
01.06.2006;279.498
02.06.2006;279.538
03.06.2006;279.589
04.06.2006;279.63
05.06.2006;279.653
06.06.2006;279.662
07.06.2006;279.687
08.06.2006;279.7
09.06.2006;279.726
10.06.2006;279.761
11.06.2006;279.76
12.06.2006;279.76
13.06.2006;279.769
14.06.2006;279.78
15.06.2006;279.777
16.06.2006;279.77
17.06.2006;279.755
18.06.2006;279.731
19.06.2006;279.716
20.06.2006;279.689
21.06.2006;279.67
22.06.2006;279.644
23.06.2006;279.613
24.06.2006;279.587
25.06.2006;279.568
26.06.2006;279.534
27.06.2006;279.496
28.06.2006;279.466
29.06.2006;279.442
30.06.2006;279.41
01.07.2006;279.383
02.07.2006;279.374
03.07.2006;279.358
04.07.2006;279.324
05.07.2006;279.288
06.07.2006;279.272
07.07.2006;279.26
08.07.2006;279.231
09.07.2006;279.198
10.07.2006;279.162
11.07.2006;279.14
12.07.2006;279.118
13.07.2006;279.089
14.07.2006;279.056
15.07.2006;279.019
16.07.2006;279.002
17.07.2006;278.986
18.07.2006;278.965
19.07.2006;278.935
20.07.2006;278.904
21.07.2006;278.872
22.07.2006;278.848
23.07.2006;278.818
24.07.2006;278.79
25.07.2006;278.776
26.07.2006;278.758
27.07.2006;278.733
28.07.2006;278.723
29.07.2006;278.714
30.07.2006;278.678
31.07.2006;278.652
01.08.2006;278.64
02.08.2006;278.62
03.08.2006;278.623
04.08.2006;278.583
