Datum;Nivo v absolutnih kotah (m n.m.)
01.01.1953
02.01.1953
03.01.1953
04.01.1953
05.01.1953
06.01.1953
07.01.1953
08.01.1953
09.01.1953
10.01.1953;274.99
11.01.1953
12.01.1953
13.01.1953
14.01.1953
15.01.1953
16.01.1953
17.01.1953
18.01.1953
19.01.1953
20.01.1953;274.55
21.01.1953
22.01.1953
23.01.1953
24.01.1953
25.01.1953
26.01.1953
27.01.1953
28.01.1953
29.01.1953
30.01.1953;274.28
31.01.1953
01.02.1953
02.02.1953
03.02.1953
04.02.1953
05.02.1953
06.02.1953
07.02.1953
08.02.1953
09.02.1953
10.02.1953;274.1
11.02.1953
12.02.1953
13.02.1953
14.02.1953
15.02.1953
16.02.1953
17.02.1953
18.02.1953
19.02.1953
20.02.1953;274.03
21.02.1953
22.02.1953
23.02.1953
24.02.1953
25.02.1953
26.02.1953
27.02.1953
28.02.1953;274.06
01.03.1953
02.03.1953
03.03.1953
04.03.1953
05.03.1953
06.03.1953
07.03.1953
08.03.1953
09.03.1953
10.03.1953;274.21
11.03.1953
12.03.1953
13.03.1953
14.03.1953
15.03.1953
16.03.1953
17.03.1953
18.03.1953
19.03.1953
20.03.1953;274.11
21.03.1953
22.03.1953
23.03.1953
24.03.1953
25.03.1953
26.03.1953
27.03.1953
28.03.1953
29.03.1953
30.03.1953;274.07
31.03.1953
01.04.1953
02.04.1953
03.04.1953
04.04.1953
05.04.1953
06.04.1953
07.04.1953
08.04.1953
09.04.1953
10.04.1953;274.08
11.04.1953
12.04.1953
13.04.1953
14.04.1953
15.04.1953
16.04.1953
17.04.1953
18.04.1953
19.04.1953
20.04.1953;274.12
21.04.1953
22.04.1953
23.04.1953
24.04.1953
25.04.1953
26.04.1953
27.04.1953
28.04.1953
29.04.1953
30.04.1953;274.18
01.05.1953
02.05.1953
03.05.1953
04.05.1953
05.05.1953
06.05.1953
07.05.1953
08.05.1953
09.05.1953
10.05.1953;274.32
11.05.1953
12.05.1953
13.05.1953
14.05.1953
15.05.1953
16.05.1953
17.05.1953
18.05.1953
19.05.1953
20.05.1953;274.2
21.05.1953
22.05.1953
23.05.1953
24.05.1953
25.05.1953
26.05.1953
27.05.1953
28.05.1953
29.05.1953
30.05.1953;274.33
31.05.1953
01.06.1953
02.06.1953
03.06.1953
04.06.1953
05.06.1953
06.06.1953
07.06.1953
08.06.1953
09.06.1953
10.06.1953;274.4
11.06.1953
12.06.1953
13.06.1953
14.06.1953
15.06.1953
16.06.1953
17.06.1953
18.06.1953
19.06.1953
20.06.1953;274.42
21.06.1953
22.06.1953
23.06.1953
24.06.1953
25.06.1953
26.06.1953
27.06.1953
28.06.1953
29.06.1953
30.06.1953;274.27
01.07.1953
02.07.1953
03.07.1953
04.07.1953
05.07.1953
06.07.1953
07.07.1953
08.07.1953
09.07.1953
10.07.1953;274.19
11.07.1953
12.07.1953
13.07.1953
14.07.1953
15.07.1953
16.07.1953
17.07.1953
18.07.1953
19.07.1953
20.07.1953;274.11
21.07.1953
22.07.1953
23.07.1953
24.07.1953
25.07.1953
26.07.1953
27.07.1953
28.07.1953
29.07.1953
30.07.1953;274.04
31.07.1953
01.08.1953
02.08.1953
03.08.1953
04.08.1953
05.08.1953
06.08.1953
07.08.1953
08.08.1953
09.08.1953
10.08.1953;274.24
11.08.1953
12.08.1953
13.08.1953
14.08.1953
15.08.1953
16.08.1953
17.08.1953
18.08.1953
19.08.1953
20.08.1953;274.09
21.08.1953
22.08.1953
23.08.1953
24.08.1953
25.08.1953
26.08.1953
27.08.1953
28.08.1953
29.08.1953
30.08.1953;274.39
31.08.1953
01.09.1953
02.09.1953
03.09.1953
04.09.1953
05.09.1953
06.09.1953
07.09.1953
08.09.1953
09.09.1953
10.09.1953;274.24
11.09.1953
12.09.1953
13.09.1953
14.09.1953
15.09.1953
16.09.1953
17.09.1953
18.09.1953
19.09.1953
20.09.1953;274.65
21.09.1953
22.09.1953
23.09.1953
24.09.1953
25.09.1953
26.09.1953
27.09.1953
28.09.1953
29.09.1953
30.09.1953;274.48
01.10.1953
02.10.1953
03.10.1953
04.10.1953
05.10.1953
06.10.1953
07.10.1953
08.10.1953
09.10.1953
10.10.1953;274.28
11.10.1953
12.10.1953
13.10.1953
14.10.1953
15.10.1953
16.10.1953
17.10.1953
18.10.1953
19.10.1953
20.10.1953;274.2
21.10.1953
22.10.1953
23.10.1953
24.10.1953
25.10.1953
26.10.1953
27.10.1953
28.10.1953
29.10.1953
30.10.1953;274.57
31.10.1953
01.11.1953
02.11.1953
03.11.1953
04.11.1953
05.11.1953
06.11.1953
07.11.1953
08.11.1953
09.11.1953
10.11.1953;274.89
11.11.1953
12.11.1953
13.11.1953
14.11.1953
15.11.1953
16.11.1953
17.11.1953
18.11.1953
19.11.1953
20.11.1953;274.55
21.11.1953
22.11.1953
23.11.1953
24.11.1953
25.11.1953
26.11.1953
27.11.1953
28.11.1953
29.11.1953
30.11.1953;274.28
01.12.1953
02.12.1953
03.12.1953
04.12.1953
05.12.1953
06.12.1953
07.12.1953
08.12.1953
09.12.1953
10.12.1953;274.07
11.12.1953
12.12.1953
13.12.1953
14.12.1953
15.12.1953
16.12.1953
17.12.1953
18.12.1953
19.12.1953
20.12.1953;273.96
21.12.1953
22.12.1953
23.12.1953
24.12.1953
25.12.1953
26.12.1953
27.12.1953
28.12.1953
29.12.1953
30.12.1953;273.89
31.12.1953
01.01.1954;273.89
02.01.1954
03.01.1954
04.01.1954
05.01.1954
06.01.1954
07.01.1954
08.01.1954
09.01.1954
10.01.1954;274.02
11.01.1954
12.01.1954
13.01.1954
14.01.1954
15.01.1954
16.01.1954
17.01.1954
18.01.1954
19.01.1954
20.01.1954;274.17
21.01.1954
22.01.1954
23.01.1954
24.01.1954
25.01.1954
26.01.1954
27.01.1954
28.01.1954
29.01.1954
30.01.1954;273.86
31.01.1954
01.02.1954
02.02.1954
03.02.1954
04.02.1954
05.02.1954
06.02.1954
07.02.1954
08.02.1954
09.02.1954
10.02.1954;273.51
11.02.1954
12.02.1954
13.02.1954
14.02.1954
15.02.1954
16.02.1954
17.02.1954
18.02.1954
19.02.1954
20.02.1954;9998
21.02.1954
22.02.1954
23.02.1954
24.02.1954
25.02.1954
26.02.1954
27.02.1954
28.02.1954;273.97
01.03.1954
02.03.1954
03.03.1954
04.03.1954
05.03.1954
06.03.1954
07.03.1954
08.03.1954
09.03.1954
10.03.1954;274.46
11.03.1954
12.03.1954
13.03.1954
14.03.1954
15.03.1954
16.03.1954
17.03.1954
18.03.1954
19.03.1954
20.03.1954;274.38
21.03.1954
22.03.1954
23.03.1954
24.03.1954
25.03.1954
26.03.1954
27.03.1954
