Datum;Nivo v absolutnih kotah (m n.m.)
01.01.2007;277.68
02.01.2007;277.69
03.01.2007;277.62
04.01.2007;277.63
05.01.2007;277.61
06.01.2007;277.59
07.01.2007;277.58
08.01.2007;277.58
09.01.2007;277.54
10.01.2007;277.51
11.01.2007;277.51
12.01.2007;277.51
13.01.2007;277.48
14.01.2007;277.48
15.01.2007;277.45
16.01.2007;277.46
17.01.2007;277.48
18.01.2007;277.49
19.01.2007;277.51
20.01.2007;277.41
21.01.2007;277.43
22.01.2007;277.4
23.01.2007;277.4
24.01.2007;277.39
25.01.2007;277.37
26.01.2007;277.37
27.01.2007;277.4
28.01.2007;277.4
29.01.2007;277.45
30.01.2007;277.43
31.01.2007;277.41
01.02.2007;277.42
02.02.2007;277.4
03.02.2007;277.45
04.02.2007;277.44
05.02.2007;277.46
06.02.2007;277.49
07.02.2007;277.49
08.02.2007;277.49
09.02.2007;277.48
10.02.2007;277.49
11.02.2007;277.5
12.02.2007;277.53
13.02.2007;277.55
14.02.2007;277.53
15.02.2007;277.56
16.02.2007;277.58
17.02.2007;277.62
18.02.2007;277.68
19.02.2007;277.74
20.02.2007;277.76
21.02.2007;277.78
22.02.2007;277.82
23.02.2007;277.85
24.02.2007;277.88
25.02.2007;277.92
26.02.2007;277.95
27.02.2007;277.95
28.02.2007;278
01.03.2007;278.04
02.03.2007;278.05
03.03.2007;278.07
04.03.2007;278.06
05.03.2007;278.08
06.03.2007;278.12
07.03.2007;278.19
08.03.2007;278.18
09.03.2007;278.17
10.03.2007;278.2
11.03.2007;278.22
12.03.2007;278.26
13.03.2007;278.3
14.03.2007;278.32
15.03.2007;278.35
16.03.2007;278.38
17.03.2007;278.42
18.03.2007;278.47
19.03.2007;278.53
20.03.2007;278.53
21.03.2007;278.48
22.03.2007;278.47
23.03.2007;278.52
24.03.2007;278.53
25.03.2007;278.5
26.03.2007;278.52
27.03.2007;278.55
28.03.2007;278.58
29.03.2007;278.6
30.03.2007;278.63
31.03.2007;278.64
01.04.2007;278.63
02.04.2007;278.65
03.04.2007;278.73
04.04.2007;278.73
05.04.2007;278.7
06.04.2007;278.71
07.04.2007;278.73
08.04.2007;278.74
09.04.2007;278.76
10.04.2007;278.76
11.04.2007;278.74
12.04.2007;278.74
13.04.2007;278.76
14.04.2007;278.76
15.04.2007;278.75
16.04.2007;278.73
17.04.2007;278.74
18.04.2007;278.73
19.04.2007;278.7
20.04.2007;278.71
21.04.2007;278.68
22.04.2007;278.66
23.04.2007;278.66
24.04.2007;278.66
25.04.2007;278.65
26.04.2007;278.62
27.04.2007;278.61
28.04.2007;278.62
29.04.2007;278.64
30.04.2007;278.64
01.05.2007;278.63
02.05.2007;278.6
03.05.2007;278.6
04.05.2007;278.58
05.05.2007;278.57
06.05.2007;278.54
07.05.2007;278.52
08.05.2007;278.51
09.05.2007;278.48
10.05.2007;278.45
11.05.2007;278.45
12.05.2007;278.42
13.05.2007;278.4
14.05.2007;278.4
15.05.2007;278.38
16.05.2007;278.34
17.05.2007;278.35
18.05.2007;278.29
19.05.2007;278.28
20.05.2007;278.27
21.05.2007;278.25
22.05.2007;278.23
23.05.2007;278.21
24.05.2007;278.19
25.05.2007;278.18
26.05.2007;278.16
27.05.2007;278.15
28.05.2007;278.16
29.05.2007;278.11
30.05.2007;278.05
31.05.2007;278.04
01.06.2007;278.03
02.06.2007;278.01
03.06.2007;278
04.06.2007;277.99
05.06.2007;277.98
06.06.2007;277.97
07.06.2007;277.96
08.06.2007;277.94
09.06.2007;277.93
10.06.2007;277.94
11.06.2007;277.93
12.06.2007;277.92
13.06.2007;277.91
14.06.2007;277.9
15.06.2007;277.88
16.06.2007;277.87
17.06.2007;277.86
18.06.2007;277.84
19.06.2007;277.81
20.06.2007;277.8
21.06.2007;277.8
22.06.2007;277.8
23.06.2007;277.79
24.06.2007;277.78
25.06.2007;277.81
26.06.2007;277.8
27.06.2007;277.73
28.06.2007;277.7
29.06.2007;277.69
30.06.2007;277.69
01.07.2007;277.7
02.07.2007;277.7
